cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,San Sebastián de los Reyes--piece--0-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--0-1--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--0-2--,3391.58,3,9.43878,1,
piece,San Sebastián de los Reyes--piece--0-3--,3735.38,7,12.328,6,
piece,San Sebastián de los Reyes--piece--0-4--,2900.42,7,0,0,
piece,San Sebastián de los Reyes--piece--1-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--1-1--,2860.51,5,6.81115,1,
piece,San Sebastián de los Reyes--piece--1-2--,4204.82,1,9.43878,1,
piece,San Sebastián de los Reyes--piece--1-3--,2565.37,3,10.8125,2,
piece,San Sebastián de los Reyes--piece--1-4--,3670.24,2,8.02962,2,
piece,San Sebastián de los Reyes--piece--2-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--2-1--,3209.79,1,14.9206,2,
piece,San Sebastián de los Reyes--piece--2-2--,2791.74,10,9.7625,2,
piece,San Sebastián de los Reyes--piece--2-3--,2107.36,15,11.8056,1,
piece,San Sebastián de los Reyes--piece--2-4--,2717.09,9,11.635,4,
piece,San Sebastián de los Reyes--piece--3-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--3-1--,2576.25,4,7.14286,1,
piece,San Sebastián de los Reyes--piece--3-2--,2563.96,11,10,1,
piece,San Sebastián de los Reyes--piece--3-3--,2504.39,25,12.5636,2,
piece,San Sebastián de los Reyes--piece--3-4--,2160.95,20,12.5252,3,
piece,San Sebastián de los Reyes--piece--4-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--4-1--,2826.94,13,0,0,
piece,San Sebastián de los Reyes--piece--4-2--,2961.3,3,0,0,
piece,San Sebastián de los Reyes--piece--4-3--,2591.84,30,12.3547,3,
piece,San Sebastián de los Reyes--piece--4-4--,2226.59,30,10.4167,3,
piece,San Sebastián de los Reyes--piece--5-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--5-1--,2736.68,20,8.73718,3,
piece,San Sebastián de los Reyes--piece--5-2--,2534.29,18,13.0952,1,
piece,San Sebastián de los Reyes--piece--5-3--,2734.54,29,10.3116,5,
piece,San Sebastián de los Reyes--piece--5-4--,2041.59,27,8.56248,3,
piece,San Sebastián de los Reyes--piece--6-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--6-1--,2913.82,9,10.4499,6,
piece,San Sebastián de los Reyes--piece--6-2--,2246.82,6,0,0,
piece,San Sebastián de los Reyes--piece--6-3--,2379.96,11,11.6109,4,
piece,San Sebastián de los Reyes--piece--6-4--,3093.65,30,0,0,
piece,San Sebastián de los Reyes--piece--7-0--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--7-1--,2887.28,15,11.3188,2,
piece,San Sebastián de los Reyes--piece--7-2--,2410.71,7,12.037,3,
piece,San Sebastián de los Reyes--piece--7-3--,2170.72,12,10.9479,9,
piece,San Sebastián de los Reyes--piece--7-4--,2470.17,10,8.78067,5,
piece,San Sebastián de los Reyes--piece--8-0--,2945.83,2,10.4647,2,
piece,San Sebastián de los Reyes--piece--8-1--,0,0,9.54,5,
piece,San Sebastián de los Reyes--piece--8-2--,0,0,9.90625,2,
piece,San Sebastián de los Reyes--piece--8-3--,2345.01,4,11.2168,3,
piece,San Sebastián de los Reyes--piece--8-4--,2691.12,4,13.427,2,
piece,San Sebastián de los Reyes--piece--9-0--,2345.45,1,11.4403,4,
piece,San Sebastián de los Reyes--piece--9-1--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--9-2--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--9-3--,0,0,0,0,
piece,San Sebastián de los Reyes--piece--9-4--,0,0,0,0,